"kommunenr_2024","år","kommunenr_hist_kilder","Y_4_ialt","folk_0_66","folk_67_79","folk_80p","folk_ialt","Y_1_a_ialt","Y_1_a_0_66","Y_1_a_67_79","Y_1_a_80p","Y_2_ialt","Y_3_a_ialt","Y_3_a_0_66","Y_3_a_67_79","Y_3_a_80p","Y_5_ialt"
"1127",2010,"1127",8.5,9013,745,239,9997,301,175,51,75,62,13,0,,6,
"1127",2011,"1127",6.2,9032,765,264,10061,302,178,40,84,61,8,0,,,
"1127",2012,"1127",6.9,9190,816,259,10265,299,170,44,85,65,5,0,0,,
"1127",2013,"1127",10.1,9287,845,265,10397,294,155,52,87,63,6,0,0,,
"1127",2014,"1127",7.1,9262,874,280,10416,287,159,46,82,78,,0,0,0,
"1127",2015,"1127",7.605,9377,892,287,10556,312,163,53,96,77,8,0,,0,45.19
"1127",2016,"1127",5.505,9515,894,328,10737,325,170,56,99,56,38,,13,22,51.945
"1127",2017,"1127",5.6,9590,924,359,10873,317,168,,99,58,35,,14,14,55.82
"1127",2018,"1127",5.8,9659,942,371,10972,321,161,,105,52,40,,8,26,59.06
"1127",2019,"1127",6.5,9667,982,404,11053,302,159,,97,53,41,,9,25,60.105
"1127",2020,"1127",7.2,9759,1043,419,11221,338,164,,115,61,42,,,33,59.955
"1127",2021,"1127",5.3,9773,1075,467,11315,350,155,,120,59,42,,13,26,65.845
"1127",2022,"1127",5.2,9854,1118,482,11454,382,172,,132,58,49,,14,32,80.99
"1127",2023,"1127",5.4,10036,1107,528,11671,380,172,,140,61,48,,14,30,85.96
"1127",2024,"1127",5,10064,1132,546,11742,367,166,,148,55,42,,7,33,85
"1127",2025,"1127",4.7,10066,1139,590,11795,361,159,,150,54,50,,6,40,79
"1130",2007,"1130",,9395,816,443,10654,421,170,74,177,,,,,,
"1130",2008,"1130",4.8,9637,817,440,10894,401,165,65,171,153,,,,,
"1130",2009,"1130",9.3,9777,818,450,11045,404,165,62,177,140,29,0,,21,
"1130",2010,"1130",13.4,9893,864,449,11206,374,156,63,155,140,31,0,,23,
"1130",2011,"1130",13.2,10046,893,440,11379,421,195,56,170,138,29,0,,21,
"1130",2012,"1130",13,10162,927,444,11533,420,184,65,171,137,30,,6,20,
"1130",2013,"1130",13.5,10454,976,452,11882,444,187,81,176,137,30,0,,22,
"1130",2014,"1130",13.8,10643,1034,462,12139,448,182,88,178,142,28,0,,22,
"1130",2015,"1130",12.59,10840,1092,463,12395,465,184,91,190,133,35,,6,26,53.105
"1130",2016,"1130",11.91,10861,1125,478,12464,449,177,80,192,125,37,,8,25,60.915
"1130",2017,"1130",9.8,11008,1165,489,12662,466,197,,194,127,31,,6,23,64.245
"1130",2018,"1130",10,10925,1212,501,12638,441,171,,200,127,32,,,25,64.115
"1130",2019,"1130",8.2,10958,1245,517,12720,463,185,,202,127,34,,,26,65.205
"1130",2020,"1130",9.6,11109,1313,546,12968,443,186,,173,126,36,,11,14,67.76
"1130",2021,"1130",10.4,11166,1353,551,13070,452,199,,167,126,34,,14,16,66.15
"1130",2022,"1130",10,11319,1391,558,13268,442,203,,154,120,38,,13,22,68.785
