"kommunenr_2024","år","timer","kilder"
"1578",2020,12081,"1524+1526+1578"
"1578",2021,12763,"1524+1526+1578"
"1578",2022,15156,"1524+1526+1578"
"1578",2023,17399,"1524+1526+1578"
"1578",2024,10997,"1524+1526+1578"
"1578",2025,12788,"1524+1526+1578"
"1579",2009,43375,"1548+1551+1579"
"1579",2010,43152,"1548+1551+1579"
"1579",2011,49975,"1548+1551+1579"
"1579",2012,52977,"1548+1551+1579"
"1579",2013,55825,"1548+1551+1579"
"1579",2014,59355,"1548+1551+1579"
"1579",2015,63956,"1548+1551+1579"
"1579",2016,59955,"1548+1551+1579"
"1579",2017,54746,"1548+1551+1579"
"1579",2018,52691,"1548+1551+1579"
