"kommunenr_2024","år","y2s_predikert","y2s_nedre","y2s_ovre","n_bootstrap_ok"
"1106",2045,623.778366274012,562.858721582922,770.156279459261,60
"1106",2046,643.800078984148,576.787017903382,807.185440365842,60
"1106",2047,664.180948125527,590.936860794021,845.115298322317,60
"1106",2048,685.871148291939,605.917758514704,886.000879117836,60
"1106",2049,710.829197009765,622.981315328771,934.157505826233,60
"1106",2050,736.058166213729,640.189812247754,983.180345624009,60
"1108",2026,691.181817480313,688.357905776896,695.633839513554,60
"1108",2027,697.25137478608,692.890077097194,704.413647490259,60
"1108",2028,704.591367981521,698.392248190449,714.950930320095,60
"1108",2029,713.403813263703,704.987580308796,727.695819157254,60
"1108",2030,723.738485577697,712.85846720155,742.800882818452,60
"1108",2031,735.937613681201,722.158314547051,760.935486420442,60
"1108",2032,749.694282248867,732.646316266434,781.783397161353,60
"1108",2033,765.218092748883,744.457527613979,805.620355875149,60
"1108",2034,782.589557068838,757.64168767429,832.636069033264,60
"1108",2035,801.399215446706,771.91123609234,862.106778189344,60
"1108",2036,822.588260475272,787.900772968206,895.855644791397,60
"1108",2037,845.491569194516,805.139976044968,932.704927489711,60
"1108",2038,870.13895322931,823.630987454464,972.790346037938,60
"1108",2039,896.797867215744,843.543787195523,1016.69231411101,60
"1108",2040,925.48058447236,864.871435318647,1064.51693712278,60
"1108",2041,955.510075543525,887.15040026182,1114.97919232423,60
"1108",2042,988.091067534187,911.168917670476,1170.571220609,60
"1108",2043,1022.10748827667,936.172304404477,1229.11651039034,60
"1108",2044,1058.26459679819,962.609201993703,1292.14368860444,60
"1108",2045,1098.39750961582,991.664045988802,1363.59887327029,60
"1108",2046,1137.59038478155,1020.09591141836,1433.30894027717,60
"1108",2047,1180.91946252369,1051.21037118957,1512.03229415181,60
"1108",2048,1225.42478500505,1083.05494816182,1593.62882557854,60
"1108",2049,1273.2993645523,1117.03567939595,1682.92410107723,60
"1108",2050,1323.55825631488,1152.48942129532,1777.95814737261,60
"1111",2026,62.2854785527186,61.842007350772,62.6928895207752,60
"1111",2027,62.9041660412937,62.2501813186964,63.5829965494615,60
"1111",2028,63.6092147345739,62.692677147009,64.6368027647065,60
"1111",2029,64.5407089755778,63.2700118666491,66.1200518677351,60
"1111",2030,65.6068795499459,63.9224605173503,67.8733993529127,60
"1111",2031,66.9776967487625,64.7515649618072,70.225822438496,60
"1111",2032,68.3123650625941,65.6161387885251,72.554455448901,60
"1111",2033,70.1099059021875,66.8463099189303,75.8209284479871,60
"1111",2034,72.0318391731922,68.2619043304833,79.3856780397196,60
"1111",2035,73.8069124215195,69.4410878971282,82.7026112659352,60
"1111",2036,77.0622446734205,71.5368245097467,89.1144007087447,60
"1111",2037,79.256333401961,72.9304984740454,93.4124098575828,60
"1111",2038,82.2708951486784,74.8406478922738,99.5248403995105,60
"1111",2039,85.5283104037154,76.8944160840935,106.25482821575,60
"1111",2040,88.7975071732392,78.9359483132564,113.134100430111,60
"1111",2041,92.3224338956915,81.1283720600385,120.674753257751,60
"1111",2042,95.5422455462904,83.1116649606694,127.630528818749,60
"1111",2043,99.5672639602204,85.5798304543054,136.568416303254,60
"1111",2044,103.087408865725,87.7156630417939,144.446260477196,60
"1111",2045,106.914289131113,90.0255072158683,153.160185279993,60
"1111",2046,110.365214551416,92.093409798443,161.04724366933,60
"1111",2047,114.928677105803,94.8128350541388,171.829978908878,60
"1111",2048,118.198324093032,96.7382364488832,179.474184363905,60
"1111",2049,122.14292680358,99.0431454019305,188.952559360112,60
"1111",2050,127.138936303609,101.951975353934,201.264491301406,60
"1112",2026,65.1569743182795,64.9770724861866,65.5954027246625,60
"1112",2027,64.639529652219,64.3682919790471,65.3687233621912,60
"1112",2028,64.161660868168,63.7951323889749,65.2170337930445,60
"1112",2029,63.7556921251251,63.2605406364194,65.198725591163,60
"1112",2030,63.484581620275,62.8275066528338,65.436024213629,60
"1112",2031,63.6451048696928,62.7445209484378,66.5242192196273,60
"1112",2032,63.458446365248,62.390696517558,66.9341676335382,60
"1112",2033,63.394198360416,62.1328509100736,67.588201881424,60
"1112",2034,63.5934697053575,62.0781316122161,68.7885457352873,60
"1112",2035,64.2686481837649,62.3896522522493,70.9005957881111,60
"1112",2036,65.1723760662909,62.8610243073705,73.493161632263,60
